epsilon, gamma, alpha, defaultq, successes, avg_buffer, avg_penalties
0.01, 0.5, '1.0/t', 0.0, 99,0.58723767254070292, 0.14 
0.01, 0.5, '1.0/t', 0.0, 99,0.58668656259565355, 0.26 
0.01, 0.5, '1.0/t', 0.0, 100,0.58569747474747469, 0.19 
0.01, 0.5, '1.0/t', 0.0, 98,0.55319484936831875, 0.18 
0.01, 0.5, '1.0/t', 0.0, 98,0.56665046971169419, 0.21 
0.01, 0.5, '1.0/t', 0.0, 99,0.58321709155042478, 0.15 
0.01, 0.5, '1.0/t', 0.0, 100,0.57955317460317468, 0.22 
0.01, 0.5, '1.0/t', 0.0, 98,0.60939342403628116, 0.19 
0.01, 0.5, '1.0/t', 0.0, 100,0.59265995670995675, 0.17 
0.01, 0.5, '1.0/t', 0.0, 100,0.56601984126984128, 0.19 
0.01, 0.5, '1.0/t', 0.0, 99,0.57780663780663777, 0.19 
0.01, 0.5, '1.0/t', 0.0, 98,0.56918367346938781, 0.17 
0.01, 0.5, '1.0/t', 0.0, 95,0.57836447178552441, 0.2 
0.01, 0.5, '1.0/t', 0.0, 97,0.56490918016691216, 0.2 
0.01, 0.5, '1.0/t', 0.0, 99,0.58789321789321791, 0.16 
0.01, 0.5, '1.0/t', 0.0, 98,0.5888196100951204, 0.23 
0.01, 0.5, '1.0/t', 0.0, 99,0.58594837261503918, 0.19 
0.01, 0.5, '1.0/t', 0.0, 98,0.5768328327001796, 0.23 
0.01, 0.5, '1.0/t', 0.0, 98,0.56058772859793271, 0.26 
0.01, 0.5, '1.0/t', 0.0, 96,0.61278521825396826, 0.21 
0.01, 0.5, '1.0/t', 0.0, 100,0.57831349206349214, 0.21 
0.05, 0.25, '1.0/t', 0.0, 98,0.6070517860823984, 0.39 
0.05, 0.25, '1.0/t', 0.0, 95,0.58806288448393695, 0.28 
0.05, 0.25, '1.0/t', 0.0, 97,0.60150466372115852, 0.38 
0.05, 0.25, '1.0/t', 0.0, 97,0.58432974814418115, 0.33 
0.05, 0.25, '1.0/t', 0.0, 97,0.57156111929307807, 0.43 
0.05, 0.25, '1.0/t', 0.0, 100,0.59136861471861468, 0.42 
0.05, 0.25, '1.0/t', 0.0, 98,0.55583274435315244, 0.34 
0.05, 0.25, '1.0/t', 0.0, 96,0.56730376683501682, 0.3 
0.05, 0.25, '1.0/t', 0.0, 98,0.59468820861677985, 0.35 
0.05, 0.25, '1.0/t', 0.0, 95,0.54312280701754378, 0.43 
0.05, 0.25, '1.0/t', 0.0, 97,0.55542419779533181, 0.44 
0.05, 0.25, '1.0/t', 0.0, 92,0.57396221532091107, 0.41 
0.05, 0.25, '1.0/t', 0.0, 95,0.5902787271208324, 0.32 
0.05, 0.25, '1.0/t', 0.0, 98,0.60390206732043472, 0.36 
0.05, 0.25, '1.0/t', 0.0, 98,0.59035213652560592, 0.39 
0.05, 0.25, '1.0/t', 0.0, 99,0.55438745317533189, 0.34 
0.05, 0.25, '1.0/t', 0.0, 99,0.55442680776014119, 0.34 
0.05, 0.25, '1.0/t', 0.0, 99,0.57354147535965716, 0.33 
0.05, 0.25, '1.0/t', 0.0, 96,0.57424685846560841, 0.33 
0.05, 0.25, '1.0/t', 0.0, 98,0.59241415613864601, 0.39 
0.05, 0.25, '1.0/t', 0.0, 98,0.57442500809847752, 0.36 
0.05, 0.25, '1.0/t', 0.0, 96,0.5238492063492064, 0.38 
0.05, 0.25, '1.0/t', 0.0, 96,0.59295386904761915, 0.41 
0.05, 0.25, '1.0/t', 0.0, 96,0.55208987193362191, 0.44 
0.05, 0.25, '1.0/t', 0.0, 96,0.5483209325396825, 0.37 
0.05, 0.25, '1.0/t', 0.0, 92,0.54144496204278802, 0.37 
0.05, 0.25, '1.0/t', 0.0, 100,0.55603910533910539, 0.33 
0.05, 0.25, '1.0/t', 0.0, 96,0.58305472883597875, 0.32 
0.05, 0.25, '1.0/t', 0.0, 95,0.5787602339181287, 0.31 
0.05, 0.25, '1.0/t', 0.0, 99,0.52448671418368387, 0.44 
0.05, 0.25, '1.0/t', 0.0, 98,0.57446947610212917, 0.25 
0.05, 0.25, '1.0/t', 0.0, 97,0.55437400514720103, 0.39 
0.05, 0.25, '1.0/t', 0.0, 96,0.56952689093314091, 0.26 
0.05, 0.25, '1.0/t', 0.0, 95,0.60473266499582301, 0.39 
0.05, 0.25, '1.0/t', 0.0, 97,0.55838584668481572, 0.37 
0.05, 0.25, '1.0/t', 0.0, 99,0.59991181657848325, 0.29 
0.05, 0.25, '1.0/t', 0.0, 98,0.58163552433960597, 0.42 
0.05, 0.25, '1.0/t', 0.0, 98,0.58535876255264008, 0.32 
0.05, 0.25, '1.0/t', 0.0, 99,0.60100820615972117, 0.32 
0.05, 0.25, '1.0/t', 0.0, 96,0.54836144179894186, 0.4 
0.05, 0.25, '1.0/t', 0.0, 99,0.58814530587257874, 0.28 
0.05, 0.25, '1.0/t', 0.0, 99,0.58489687641202792, 0.29 
0.05, 0.25, '1.0/t', 0.0, 97,0.55709659183885984, 0.43 
0.05, 0.25, '1.0/t', 0.0, 96,0.5956448412698413, 0.36 
0.05, 0.25, '1.0/t', 0.0, 97,0.55880007735677839, 0.28 
0.05, 0.25, '1.0/t', 0.0, 97,0.55831072135195847, 0.4 
0.05, 0.25, '1.0/t', 0.0, 99,0.55836583730523126, 0.26 
0.05, 0.25, '1.0/t', 0.0, 100,0.54646868686868688, 0.26 
0.05, 0.25, '1.0/t', 0.0, 96,0.57612238455988452, 0.4 
0.05, 0.25, '1.0/t', 0.0, 100,0.59010772005772016, 0.29 
0.05, 0.01, '1.0/t', 0.0, 99,0.56737825586310442, 0.33 
0.05, 0.01, '1.0/t', 0.0, 97,0.56594828996890845, 0.35 
0.05, 0.01, '1.0/t', 0.0, 99,0.59318568076143841, 0.31 
0.05, 0.01, '1.0/t', 0.0, 98,0.58138933062402454, 0.37 
0.05, 0.01, '1.0/t', 0.0, 100,0.55861111111111117, 0.34 
0.05, 0.01, '1.0/t', 0.0, 97,0.54545491736213392, 0.35 
0.05, 0.01, '1.0/t', 0.0, 96,0.57423881673881672, 0.25 
0.05, 0.01, '1.0/t', 0.0, 96,0.5786571067821068, 0.39 
0.05, 0.01, '1.0/t', 0.0, 99,0.58893691605812815, 0.36 
0.05, 0.01, '1.0/t', 0.0, 98,0.58864247430573968, 0.4 
0.05, 0.01, '1.0/t', 0.0, 98,0.58602445740200848, 0.42 
0.05, 0.01, '1.0/t', 0.0, 99,0.57885674931129472, 0.32 
0.05, 0.01, '1.0/t', 0.0, 97,0.57854442808051054, 0.35 
0.05, 0.01, '1.0/t', 0.0, 95,0.56522214627477796, 0.39 
0.05, 0.01, '1.0/t', 0.0, 98,0.57893004387902336, 0.42 
0.05, 0.01, '1.0/t', 0.0, 96,0.57617807539682542, 0.36 
0.05, 0.01, '1.0/t', 0.0, 99,0.56425444925444934, 0.42 
0.05, 0.01, '1.0/t', 0.0, 98,0.57308220690873757, 0.32 
0.05, 0.01, '1.0/t', 0.0, 99,0.58172803066742462, 0.36 
0.05, 0.01, '1.0/t', 0.0, 98,0.58409319138910987, 0.47 
0.05, 0.01, '1.0/t', 0.0, 98,0.56927143151632942, 0.39 
0.05, 0.01, '1.0/t', 0.0, 98,0.56910276231704804, 0.35 
0.05, 0.01, '1.0/t', 0.0, 98,0.57913994169096217, 0.36 
0.05, 0.01, '1.0/t', 0.0, 99,0.54682940516273848, 0.29 
0.05, 0.01, '1.0/t', 0.0, 97,0.54242431680576009, 0.47 
0.05, 0.01, '1.0/t', 0.0, 100,0.53985800865800859, 0.37 
0.05, 0.01, '1.0/t', 0.0, 98,0.58775767882910734, 0.37 
0.05, 0.01, '1.0/t', 0.0, 100,0.61395974025974032, 0.33 
0.05, 0.01, '1.0/t', 0.0, 96,0.62758928571428563, 0.35 
0.05, 0.01, '1.0/t', 0.0, 99,0.58266095296398324, 0.43 
0.05, 0.01, '1.0/t', 0.0, 98,0.57985179786200192, 0.4 
0.05, 0.01, '1.0/t', 0.0, 98,0.52490443796566244, 0.45 
0.05, 0.01, '1.0/t', 0.0, 99,0.54206349206349203, 0.41 
0.05, 0.01, '1.0/t', 0.0, 98,0.55815943693494707, 0.38 
0.05, 0.01, '1.0/t', 0.0, 98,0.56487719763229971, 0.4 
0.05, 0.01, '1.0/t', 0.0, 100,0.55405000000000004, 0.28 
0.05, 0.01, '1.0/t', 0.0, 99,0.55197202909324128, 0.4 
0.05, 0.01, '1.0/t', 0.0, 96,0.53746099386724389, 0.42 
0.05, 0.01, '1.0/t', 0.0, 97,0.56061692030764187, 0.42 
0.05, 0.01, '1.0/t', 0.0, 97,0.58223575965843999, 0.34 
0.05, 0.01, '1.0/t', 0.0, 95,0.56733120680489102, 0.39 
0.05, 0.01, '1.0/t', 0.0, 95,0.5742364243943191, 0.38 
0.05, 0.01, '1.0/t', 0.0, 99,0.5567349541591966, 0.35 
0.05, 0.01, '1.0/t', 0.0, 99,0.55833333333333335, 0.36 
0.05, 0.01, '1.0/t', 0.0, 98,0.59581581117295401, 0.32 
0.05, 0.01, '1.0/t', 0.0, 98,0.58284661483641076, 0.38 
0.05, 0.01, '1.0/t', 0.0, 98,0.5664789292340312, 0.38 
0.05, 0.01, '1.0/t', 0.0, 100,0.58341746031746022, 0.4 
0.05, 0.01, '1.0/t', 0.0, 100,0.5398405483405484, 0.32 
0.05, 0.01, '1.0/t', 0.0, 99,0.57557239057239062, 0.3 
0.05, 0.75, '1.0/t', 0.0, 99,0.58616679056072996, 0.3 
0.05, 0.75, '1.0/t', 0.0, 91,0.50573783359497648, 0.46 
0.05, 0.75, '1.0/t', 0.0, 97,0.57098823284390299, 0.3 
0.05, 0.75, '1.0/t', 0.0, 89,0.56407639800898224, 0.38 
0.05, 0.75, '1.0/t', 0.0, 93,0.58164230631972558, 0.28 
0.05, 0.75, '1.0/t', 0.0, 94,0.55441282122133195, 0.45 
0.05, 0.75, '1.0/t', 0.0, 85,0.54536329683388507, 0.33 
0.05, 0.75, '1.0/t', 0.0, 93,0.55755162997098473, 0.35 
0.05, 0.75, '1.0/t', 0.0, 95,0.59138512949039268, 0.36 
0.05, 0.75, '1.0/t', 0.0, 96,0.54059320887445883, 0.3 
0.05, 0.75, '1.0/t', 0.0, 96,0.56741018819143818, 0.35 
0.05, 0.75, '1.0/t', 0.0, 97,0.53685633953675183, 0.44 
0.05, 0.75, '1.0/t', 0.0, 96,0.5367228084415584, 0.42 
0.05, 0.75, '1.0/t', 0.0, 97,0.53450804064206126, 0.39 
