Security Start Date,Company Name,Country of Incorporation,LSE Market,FCA Listing Category,ISIN,Security Name,TIDM,Mkt Cap £m,Shares in Issue,Industry,Supersector,Sector,Subsector,Group,MarketSegmentCode,MarketSectorCode,Trading Currency,,,,,,,,,,,,,,,,,,
26-Jul-05,ADAMS PLC                          ,IM,AIM,,IM00B986V543,ORD EUR0.01                             ,ADA  ,2.97542595105832,"41,276,616.00",Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,8633,ASQ1,AMQ1,EUR,,,,,,,,,,,,,,,,,,
15-Feb-06,ADEPT TELECOM                      ,GB,AIM,,GB00B0WY3Y47,ORD GBP0.10                             ,ADT  ,55.986670575,"22,620,877.00",Telecommunications,Telecommunications,Fixed Line Telecommunications,Fixed Line Telecommunications,6535,AIMI,AIMT,GBX,,,,,,,,,,,,,,,,,,
15-Feb-06,ADEPT4 PLC                         ,GB,AIM,,GB00B8GRBX01,ORD GBP0.01                             ,PINN ,17.881376625,"227,065,100.00",Technology,Technology,Software & Computer Services,Computer Services,9533,AIM ,AIM ,GBX,,,,,,,,,,,,,,,,,,
11-Jun-15,ADGORITHMS LTD                     ,IL,AIM,,IL0011354904,ORD ILS0.01 (DI)                        ,ADGO ,11.10579354,"61,698,853.00",Consumer Services,Media,Media,Media Agencies,5555,ASQ1,AMQ1,GBX,,,,,,,,,,,,,,,,,,
28-Sep-04,ADMIRAL GROUP PLC                  ,GB,UK Main Market,Premium Equity Commercial Companies,GB00B02J6398,ORD GBP0.001                            ,ADM ,5562.0361585,"271,318,837.00",Financials,Insurance,Nonlife Insurance,Insurance Brokers,8534,SET1,FS10,GBX,,,,,,,,,,,,,,,,,,
30-Apr-02,ADVANCED MEDICAL SOLUTIONS GROUP   ,GB,AIM,,GB0004536594,ORD GBP0.05                             ,AMS  ,453.76473438,"204,398,529.00",Health Care,Health Care,Health Care Equipment & Services,Medical Supplies,4537,AMSM,AS50,GBX,,,,,,,,,,,,,,,,,,
4-Aug-06,ADVANCED ONCOTHERAPY PLC           ,GB,AIM,,GB00BD6SX109,ORD GBP0.25                             ,AVO  ,71.71204042,"58,780,361.00",Health Care,Health Care,Health Care Equipment & Services,Medical Equipment,4535,AIM ,AIM ,GBX,,,,,,,,,,,,,,,,,,
20-Mar-00,ADVFN                              ,GB,AIM,,GB00BPT24C10,ORD GBP0.002                            ,AFN  ,7.43091534,"25,623,846.00",Financials,Financial Services,Financial Services,Specialty Finance,8775,AIM ,AIM ,GBX,,,,,,,,,,,,,,,,,,
10-Dec-04,AEC EDUCATION                      ,GB,AIM,,GB00B04XB679,ORD GBP0.05                             ,AEC  ,1.041690819,"80,130,063.00",Industrials,Industrial Goods & Services,Support Services,Business Training & Equipment Agencies,2793,ASQ1,AMQ1,GBX,,,,,,,,,,,,,,,,,,
27-Jul-38,AECI                               ,ZA,International Main Market,Standard Shares,ZAE000000238,5.5% CUM PRF ZAR2                       ,87FZ,0,"3,000,000.00",,,,,7,SSX4,SXSN,GBX,,,,,,,,,,,,,,,,,,
